category,top_length,latest_length,top_flesch,latest_flesch,top_fog,latest_fog,top_coleman_liau,latest_coleman_liau,top_dale_chall,latest_dale_chall
YouTube_howto,23.0,13.272727272727273,86.205,77.23363636363636,9.2,5.522727272727273,3.135,4.789999999999999,8.1,8.082727272727274
YouTube_music,16.0,11.0,86.25666666666666,89.92500000000001,7.353333333333334,7.735,2.6533333333333338,5.6049999999999995,6.663333333333334,8.395
YouTube_gaming,6.0,15.545454545454545,73.85,87.23363636363636,9.07,7.674545454545456,9.15,4.250909090909091,6.57,8.166363636363634
YouTube_gaming,8.5,6.0,50.16,99.23,8.555,2.4,9.06,4.28,12.190000000000001,6.57
YouTube_gaming,6.5,6.1,56.42,79.668,2.5999999999999996,4.0840000000000005,7.365,4.04,9.79,8.031
YouTube_howto,5.0,11.0,117.16,94.15,2.0,4.4,-2.01,3.5200000000000005,0.25,3.295
YouTube_news,8.0,9.5,71.82,91.445,7.7,3.8000000000000003,6.682499999999999,2.75,10.3825,8.215
YouTube_gaming,16.0,9.75,89.08,89.07625,6.4,4.455,5.28,4.171250000000001,7.39,10.16
YouTube_music,55.0,12.0,15.650000000000002,50.84,26.97,11.47,11.985,13.27,10.370000000000001,9.5
YouTube_gaming,21.333333333333332,18.8,78.02333333333333,76.08200000000001,9.316666666666666,8.724,6.133333333333333,6.668999999999999,9.676666666666666,7.905000000000001
YouTube_howto,41.0,13.5,55.245,93.02500000000002,16.4,5.601666666666667,7.0600000000000005,4.5616666666666665,10.45,7.031666666666666
YouTube_gaming,13.4,10.823529411764707,71.414,91.84352941176472,7.422,5.288235294117648,7.872,4.127058823529413,10.017999999999999,8.538823529411765
YouTube_gaming,14.0,6.0,74.19,40.004999999999995,8.46,14.4,6.55,10.41,9.97,15.780000000000001
YouTube_music,13.666666666666666,13.5,77.34666666666666,74.695,5.466666666666666,7.4,11.026666666666666,7.225,10.829999999999998,7.805
YouTube_gaming,13.0,21.0,92.12,88.22999999999999,5.2,9.045,7.87,5.125,12.605,10.559999999999999
YouTube_music,8.5,15.0,92.46000000000001,73.17,3.4,7.836666666666667,5.5,7.5133333333333345,9.02,9.690000000000001
YouTube_music,14.25,13.0,80.2775,92.12,7.7875,5.2,6.0375,5.03,8.75,10.35
YouTube_howto,12.0,14.23076923076923,-8.386666666666665,73.9523076923077,15.536666666666667,6.526923076923077,28.113333333333333,7.02,15.646666666666667,9.442307692307692
YouTube_howto,19.8,17.5,81.836,80.786,9.873999999999999,8.365999999999998,4.754,5.667,8.642,8.102
YouTube_news,12.0,19.5,76.22,68.60499999999999,8.13,10.11,8.92,9.105,9.5,8.55
YouTube_music,14.333333333333334,19.5,71.03,81.295,7.636666666666667,9.9975,8.133333333333333,4.6925,8.576666666666666,6.619999999999999
YouTube_gaming,32.5,13.083333333333334,55.41,94.85833333333333,13.424999999999999,5.233333333333333,9.695,3.0666666666666664,12.649999999999999,9.478333333333333
YouTube_news,19.0,42.0,77.575,54.23,7.6000000000000005,16.8,5.54,7.79,9.29,10.23
YouTube_gaming,7.0,14.0,89.75,99.57,2.8,5.6,4.07,0.75,10.75,9.97
YouTube_music,10.0,11.666666666666666,103.63,90.65666666666668,4.0,5.5,5.02,6.009999999999999,13.61,7.806666666666666
YouTube_music,41.0,16.444444444444443,46.78,80.16666666666667,19.98,8.774999999999999,11.21,6.003333333333334,11.864999999999998,9.902777777777777
YouTube_music,15.0,15.0,90.09,90.09,6.0,6.0,4.57,4.57,7.54,7.54
YouTube_news,14.666666666666666,12.538461538461538,53.77,70.46461538461537,8.383333333333333,7.063076923076922,10.256666666666666,6.6569230769230785,8.889999999999999,9.52153846153846
